time_id,date,year,quarter,month,month_name,year_month
1,2024-01-01,2024,1,1,January,2024-01
2,2024-02-01,2024,1,2,February,2024-02
3,2024-03-01,2024,1,3,March,2024-03
4,2024-04-01,2024,2,4,April,2024-04
5,2024-05-01,2024,2,5,May,2024-05
6,2024-06-01,2024,2,6,June,2024-06
7,2024-07-01,2024,3,7,July,2024-07
8,2024-08-01,2024,3,8,August,2024-08
9,2024-09-01,2024,3,9,September,2024-09
10,2024-10-01,2024,4,10,October,2024-10
11,2024-11-01,2024,4,11,November,2024-11
12,2024-12-01,2024,4,12,December,2024-12
13,2025-01-01,2025,1,1,January,2025-01
14,2025-02-01,2025,1,2,February,2025-02
15,2025-03-01,2025,1,3,March,2025-03
16,2025-04-01,2025,2,4,April,2025-04
17,2025-05-01,2025,2,5,May,2025-05
18,2025-06-01,2025,2,6,June,2025-06
19,2025-07-01,2025,3,7,July,2025-07
20,2025-08-01,2025,3,8,August,2025-08
21,2025-09-01,2025,3,9,September,2025-09
22,2025-10-01,2025,4,10,October,2025-10
23,2025-11-01,2025,4,11,November,2025-11
24,2025-12-01,2025,4,12,December,2025-12
25,2026-01-01,2026,1,1,January,2026-01
26,2026-02-01,2026,1,2,February,2026-02
27,2026-03-01,2026,1,3,March,2026-03
28,2026-04-01,2026,2,4,April,2026-04
