job_id,skill_id,company_id,time_id,location_id,seniority,title
f05caab19c09,19,3,10,6,Mid,Product Analyst
f05caab19c09,16,3,10,6,Mid,Product Analyst
f05caab19c09,14,3,10,6,Mid,Product Analyst
f05caab19c09,23,3,10,6,Mid,Product Analyst
b8fa3b36389e,16,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,14,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,8,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,4,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,25,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,22,7,201,2,Junior,Data Analyst (Entry Level)
b8fa3b36389e,15,7,201,2,Junior,Data Analyst (Entry Level)
df8b93b6965c,19,27,402,6,Senior,Head of Analytics
df8b93b6965c,16,27,402,6,Senior,Head of Analytics
df8b93b6965c,14,27,402,6,Senior,Head of Analytics
df8b93b6965c,8,27,402,6,Senior,Head of Analytics
df8b93b6965c,25,27,402,6,Senior,Head of Analytics
df8b93b6965c,1,27,402,6,Senior,Head of Analytics
df8b93b6965c,22,27,402,6,Senior,Head of Analytics
df8b93b6965c,13,27,402,6,Senior,Head of Analytics
64430d940c99,19,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,16,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,8,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,23,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,12,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,1,30,319,2,Senior,Senior Analytics Engineer
64430d940c99,10,30,319,2,Senior,Senior Analytics Engineer
62815a5bb413,19,20,181,7,Junior,Data Analyst (Entry Level)
62815a5bb413,14,20,181,7,Junior,Data Analyst (Entry Level)
62815a5bb413,4,20,181,7,Junior,Data Analyst (Entry Level)
62815a5bb413,23,20,181,7,Junior,Data Analyst (Entry Level)
62815a5bb413,12,20,181,7,Junior,Data Analyst (Entry Level)
62815a5bb413,10,20,181,7,Junior,Data Analyst (Entry Level)
92399adc835c,19,22,199,2,Senior,Senior Data Analyst
92399adc835c,16,22,199,2,Senior,Senior Data Analyst
92399adc835c,14,22,199,2,Senior,Senior Data Analyst
92399adc835c,4,22,199,2,Senior,Senior Data Analyst
92399adc835c,12,22,199,2,Senior,Senior Data Analyst
92399adc835c,5,22,199,2,Senior,Senior Data Analyst
92399adc835c,10,22,199,2,Senior,Senior Data Analyst
92399adc835c,9,22,199,2,Senior,Senior Data Analyst
2964a122b032,19,6,395,3,Mid,Data Analyst
2964a122b032,16,6,395,3,Mid,Data Analyst
2964a122b032,4,6,395,3,Mid,Data Analyst
2964a122b032,6,6,395,3,Mid,Data Analyst
49616d9ad209,19,11,177,9,Junior,Junior Business Analyst
49616d9ad209,16,11,177,9,Junior,Junior Business Analyst
49616d9ad209,8,11,177,9,Junior,Junior Business Analyst
49616d9ad209,4,11,177,9,Junior,Junior Business Analyst
49616d9ad209,23,11,177,9,Junior,Junior Business Analyst
fceb5e0543cf,8,17,103,6,Mid,Data Analyst
fceb5e0543cf,4,17,103,6,Mid,Data Analyst
fffcf31bd240,19,14,339,6,Senior,Head of Analytics
fffcf31bd240,5,14,339,6,Senior,Head of Analytics
fffcf31bd240,3,14,339,6,Senior,Head of Analytics
fffcf31bd240,9,14,339,6,Senior,Head of Analytics
fffcf31bd240,2,14,339,6,Senior,Head of Analytics
aa9f3cc74dc3,19,25,57,2,Mid,Product Analyst
aa9f3cc74dc3,16,25,57,2,Mid,Product Analyst
aa9f3cc74dc3,14,25,57,2,Mid,Product Analyst
aa9f3cc74dc3,21,25,57,2,Mid,Product Analyst
aa9f3cc74dc3,5,25,57,2,Mid,Product Analyst
03dd2d55e388,19,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,16,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,14,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,8,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,4,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,25,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,23,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,22,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,6,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,15,15,136,7,Senior,Senior Analytics Engineer
03dd2d55e388,9,15,136,7,Senior,Senior Analytics Engineer
60e8383bd1d0,16,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,14,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,4,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,7,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,21,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,5,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,13,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,15,29,92,3,Mid,Analytics Engineer
60e8383bd1d0,17,29,92,3,Mid,Analytics Engineer
9195fb925c29,19,15,336,6,Senior,Senior Data Analyst
9195fb925c29,4,15,336,6,Senior,Senior Data Analyst
9195fb925c29,5,15,336,6,Senior,Senior Data Analyst
9195fb925c29,9,15,336,6,Senior,Senior Data Analyst
c97d49128e41,19,17,37,9,Senior,Head of Analytics
c97d49128e41,16,17,37,9,Senior,Head of Analytics
c97d49128e41,23,17,37,9,Senior,Head of Analytics
c97d49128e41,1,17,37,9,Senior,Head of Analytics
c97d49128e41,5,17,37,9,Senior,Head of Analytics
7f488faecd34,8,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,4,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,22,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,7,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,5,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,13,6,328,1,Senior,Principal Analytics Engineer
7f488faecd34,3,6,328,1,Senior,Principal Analytics Engineer
8141feda57ce,19,23,45,2,Junior,Junior Business Analyst
8141feda57ce,14,23,45,2,Junior,Junior Business Analyst
8141feda57ce,21,23,45,2,Junior,Junior Business Analyst
b7248a7e1f85,19,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,16,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,14,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,8,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,1,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,7,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,20,14,368,7,Senior,Senior Data Analyst
b7248a7e1f85,24,14,368,7,Senior,Senior Data Analyst
8e36ec9792d6,19,16,391,7,Junior,Junior Business Analyst
8e36ec9792d6,4,16,391,7,Junior,Junior Business Analyst
8e36ec9792d6,23,16,391,7,Junior,Junior Business Analyst
8e36ec9792d6,5,16,391,7,Junior,Junior Business Analyst
8e36ec9792d6,24,16,391,7,Junior,Junior Business Analyst
0ef63e7bcca1,19,5,57,6,Senior,Lead Data Analyst
0ef63e7bcca1,16,5,57,6,Senior,Lead Data Analyst
0ef63e7bcca1,14,5,57,6,Senior,Lead Data Analyst
0ef63e7bcca1,4,5,57,6,Senior,Lead Data Analyst
e7bb7ce68231,19,11,188,2,Junior,Junior BI Analyst
e7bb7ce68231,16,11,188,2,Junior,Junior BI Analyst
e7bb7ce68231,8,11,188,2,Junior,Junior BI Analyst
e7bb7ce68231,23,11,188,2,Junior,Junior BI Analyst
e7bb7ce68231,6,11,188,2,Junior,Junior BI Analyst
e7bb7ce68231,24,11,188,2,Junior,Junior BI Analyst
9e1d46be67e8,19,11,365,7,Senior,Principal Analytics Engineer
9e1d46be67e8,14,11,365,7,Senior,Principal Analytics Engineer
9e1d46be67e8,23,11,365,7,Senior,Principal Analytics Engineer
