time_id,date,year,quarter,month,month_name
1,2015-01-01,2015,1,1,January
2,2015-02-01,2015,1,2,February
3,2015-03-01,2015,1,3,March
4,2015-04-01,2015,2,4,April
5,2015-05-01,2015,2,5,May
6,2015-06-01,2015,2,6,June
7,2015-07-01,2015,3,7,July
8,2015-08-01,2015,3,8,August
9,2015-09-01,2015,3,9,September
10,2015-10-01,2015,4,10,October
11,2015-11-01,2015,4,11,November
12,2015-12-01,2015,4,12,December
13,2016-01-01,2016,1,1,January
14,2016-02-01,2016,1,2,February
15,2016-03-01,2016,1,3,March
16,2016-04-01,2016,2,4,April
17,2016-05-01,2016,2,5,May
18,2016-06-01,2016,2,6,June
19,2016-07-01,2016,3,7,July
20,2016-08-01,2016,3,8,August
21,2016-09-01,2016,3,9,September
22,2016-10-01,2016,4,10,October
23,2016-11-01,2016,4,11,November
24,2016-12-01,2016,4,12,December
25,2017-01-01,2017,1,1,January
26,2017-02-01,2017,1,2,February
27,2017-03-01,2017,1,3,March
28,2017-04-01,2017,2,4,April
29,2017-05-01,2017,2,5,May
30,2017-06-01,2017,2,6,June
31,2017-07-01,2017,3,7,July
32,2017-08-01,2017,3,8,August
33,2017-09-01,2017,3,9,September
34,2017-10-01,2017,4,10,October
35,2017-11-01,2017,4,11,November
36,2017-12-01,2017,4,12,December
37,2018-01-01,2018,1,1,January
38,2018-02-01,2018,1,2,February
39,2018-03-01,2018,1,3,March
40,2018-04-01,2018,2,4,April
41,2018-05-01,2018,2,5,May
42,2018-06-01,2018,2,6,June
43,2018-07-01,2018,3,7,July
44,2018-08-01,2018,3,8,August
45,2018-09-01,2018,3,9,September
46,2018-10-01,2018,4,10,October
47,2018-11-01,2018,4,11,November
48,2018-12-01,2018,4,12,December
49,2019-01-01,2019,1,1,January
50,2019-02-01,2019,1,2,February
51,2019-03-01,2019,1,3,March
52,2019-04-01,2019,2,4,April
53,2019-05-01,2019,2,5,May
54,2019-06-01,2019,2,6,June
55,2019-07-01,2019,3,7,July
56,2019-08-01,2019,3,8,August
57,2019-09-01,2019,3,9,September
58,2019-10-01,2019,4,10,October
59,2019-11-01,2019,4,11,November
60,2019-12-01,2019,4,12,December
61,2020-01-01,2020,1,1,January
62,2020-02-01,2020,1,2,February
63,2020-03-01,2020,1,3,March
64,2020-04-01,2020,2,4,April
65,2020-05-01,2020,2,5,May
66,2020-06-01,2020,2,6,June
67,2020-07-01,2020,3,7,July
68,2020-08-01,2020,3,8,August
69,2020-09-01,2020,3,9,September
70,2020-10-01,2020,4,10,October
71,2020-11-01,2020,4,11,November
72,2020-12-01,2020,4,12,December
73,2021-01-01,2021,1,1,January
74,2021-02-01,2021,1,2,February
75,2021-03-01,2021,1,3,March
76,2021-04-01,2021,2,4,April
77,2021-05-01,2021,2,5,May
78,2021-06-01,2021,2,6,June
79,2021-07-01,2021,3,7,July
80,2021-08-01,2021,3,8,August
81,2021-09-01,2021,3,9,September
82,2021-10-01,2021,4,10,October
83,2021-11-01,2021,4,11,November
84,2021-12-01,2021,4,12,December
85,2022-01-01,2022,1,1,January
86,2022-02-01,2022,1,2,February
87,2022-03-01,2022,1,3,March
88,2022-04-01,2022,2,4,April
89,2022-05-01,2022,2,5,May
90,2022-06-01,2022,2,6,June
91,2022-07-01,2022,3,7,July
92,2022-08-01,2022,3,8,August
93,2022-09-01,2022,3,9,September
94,2022-10-01,2022,4,10,October
95,2022-11-01,2022,4,11,November
96,2022-12-01,2022,4,12,December
97,2023-01-01,2023,1,1,January
98,2023-02-01,2023,1,2,February
99,2023-03-01,2023,1,3,March
100,2023-04-01,2023,2,4,April
101,2023-05-01,2023,2,5,May
102,2023-06-01,2023,2,6,June
103,2023-07-01,2023,3,7,July
104,2023-08-01,2023,3,8,August
105,2023-09-01,2023,3,9,September
106,2023-10-01,2023,4,10,October
107,2023-11-01,2023,4,11,November
108,2023-12-01,2023,4,12,December
109,2024-01-01,2024,1,1,January
110,2024-02-01,2024,1,2,February
111,2024-03-01,2024,1,3,March
112,2024-04-01,2024,2,4,April
113,2024-05-01,2024,2,5,May
114,2024-06-01,2024,2,6,June
115,2024-07-01,2024,3,7,July
116,2024-08-01,2024,3,8,August
117,2024-09-01,2024,3,9,September
118,2024-10-01,2024,4,10,October
119,2024-11-01,2024,4,11,November
120,2024-12-01,2024,4,12,December
121,2025-01-01,2025,1,1,January
122,2025-02-01,2025,1,2,February
123,2025-03-01,2025,1,3,March
124,2025-04-01,2025,2,4,April
125,2025-05-01,2025,2,5,May
126,2025-06-01,2025,2,6,June
127,2025-07-01,2025,3,7,July
128,2025-08-01,2025,3,8,August
129,2025-09-01,2025,3,9,September
130,2025-10-01,2025,4,10,October
131,2025-11-01,2025,4,11,November
132,2025-12-01,2025,4,12,December
133,2026-01-01,2026,1,1,January
134,2026-02-01,2026,1,2,February
135,2026-03-01,2026,1,3,March
136,2026-04-01,2026,2,4,April
